2025-09-06 08:32:09 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 08:32:09 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 08:32:09 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 08:32:37 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 08:32:37 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 08:32:37 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 08:32:37 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 08:33:08 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 08:33:08 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 08:33:08 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 08:33:08 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 08:33:38 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 08:33:38 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 08:33:38 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 08:33:38 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 08:35:47 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 08:35:47 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 08:35:47 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 08:35:47 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:35:38 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 09:35:38 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 09:35:38 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 09:35:38 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:35:38 | INFO     | src.ui.main_window.main_window_mvp:__init__:46 - 监控系统已启动
2025-09-06 09:35:38 | INFO     | src.ui.main_window.main_window_mvp:__init__:51 - 主窗口MVP初始化完成
